,Word,POS
352,kepanitian,NN
353,pusat,NN
354,k,FW
355,uad,FW
356,dahlan,NN
357,muda,JJ
358,assalamualaikum,NN
359,wr,NN
360,wb,NN
361,halo,NN
362,dahlan,NN
363,muda,JJ
364,coming,FW
365,soon,FW
366,terima,VB
367,calon,NN
368,panitia,NN
369,program,NN
370,kenal,FW
371,kampus,FW
372,uad,FW
373,kost,NN
374,putri,NN
375,strategis,JJ
376,dkt,FW
377,kampus,FW
378,uty,FW
379,uad,FW
380,fas,FW
381,kamar,FW
382,mandi,FW
383,rb,FW
384,bl,FW
385,cp,FW
386,jogja,NN
387,kost,NN
388,putri,NN
389,strategis,JJ
390,dkt,FW
391,kampus,FW
392,uty,FW
393,uad,FW
394,fas,FW
395,kamar,FW
396,mandi,FW
397,rb,FW
398,bl,FW
399,cp,FW
400,silah,NN
401,surat,NN
402,kpd,NN
403,kepala,NN
404,baa,NN
405,uad,FW
406,brosur,FW
407,pmb,FW
408,uad,NN
409,assalamualaikum,NN
410,selamat,JJ
411,sore,NN
412,dahlan,NN
413,faizal,NN
414,fikri,NN
415,mahasiswa,NN
416,uad,NN
417,prodi,NN
418,farmasi,NN
419,prosedur,NN
420,brosur,NN
421,gmna,NN
422,ya,NN
423,brosur,NN
424,sosialisasi,NN
425,sekolah,NN
426,yg,NN
427,lampung,NN
428,trimakasih,MD
429,babinsa,NN
430,susu,NN
431,sambut,VB
432,mahasiswa,NN
433,universitas,NN
434,ahmad,NN
435,dahlan,NN
436,uad,NNP
437,sebrang,NN
438,jalan,NN
439,yg,NN
440,arah,NN
441,kampus,NN
442,uad,NNP
443,dosen,CD
444,mahasiswa,NN
445,uad,NN
446,tarik,NN
447,sekolah,NN
448,papb,JJ
449,th,VB
450,jogja,NN
451,th,NN
452,kuliah,NN
453,uad,FW
454,warungboto,FW
455,gatau,FW
456,pliss,FW
457,kasih,FW
458,aing,FW
459,cerah,JJ
460,mahasiswa,NN
461,alumni,NN
462,uad,NN
463,ramai,JJ
464,sps,NN
465,edisi,NN
466,bukti,NN
467,transfer,VB
468,klien,NN
469,tesis,NN
470,abe,NN
471,wa,NN
472,jasa,NN
473,konsultasi,NN
474,skripsi,NN
475,tesis,NN
476,disertasi,NN
477,olah,NN
478,data,NN
479,anakkuliah,NN
480,uii,NN
481,uad,FW
482,uajy,FW
483,umy,FW
484,uinjakarta,FW
485,uinbandung,FW
486,binusuniversity,FW
487,mercubuana,NN
488,gunadarma,NN
489,undipcantik,NN
490,unpadgeulis,NN
491,jogjaculinary,FW
492,bandungculinary,FW
493,kuliah,NN
494,uad,NN
495,bayar,VB
496,kuliah,NN
497,ust,FW
498,keren,FW
499,congratulations,FW
500,bem,FW
501,uad,FW
502,prestasi,NN
503,website,NN
504,organisasi,NN
505,mahasiswa,NN
506,kelola,VB
507,kemenkominfo,FW
508,bem,FW
509,uad,FW
510,acara,NN
511,bimawa,VB
512,award,NN
513,moga,NN
514,tingkat,NN
515,prestasi,NN
516,bem,FW
517,uad,FW
518,universitasahmaddahlan,FW
519,bemuad,FW
520,kabinetpembara,FW
521,weareuad,FW
522,mahasiswa,NN
523,alumni,NN
524,uad,NN
525,ramai,JJ
526,sps,NN
527,edisi,NN
528,tim,NN
529,futsal,NN
530,magister,NN
531,psikologi,NN
532,profesi,NN
533,uad,FW
534,singkir,FW
535,fase,FW
536,group,FW
537,imbang,FW
538,tanding,FW
539,hadap,FW
540,tim,FW
541,futsal,FW
542,magister,FW
543,manajemen,NN
544,didik,NN
545,skor,NN
546,janab,NN
547,pta,NN
548,nhi,VB
549,upka,NN
550,muflor,FW
551,ko,FW
552,dekh,FW
553,mujhe,FW
554,bb,FW
555,pita,NN
556,babju,NN
557,ka,NN
558,uad,NN
559,ata,NN
560,hain,JJ
561,ri,VB
562,bat,NN
563,up,FW
564,ek,FW
565,iit,FW
566,student,FW
567,the,FW
568,firvi,FW
569,itna,FW
570,vul,FW
571,jate,FW
572,hain,FW
573,sari,FW
574,bat,FW
575,ye,FW
576,kaise,FW
577,possible,FW
578,hain,FW
579,salah,JJ
580,program,NN
581,kerja,NN
582,hmps,FW
583,pai,FW
584,uad,FW
585,olimpiade,FW
586,qur,FW
587,an,FW
588,selenggara,NN
589,rebut,VB
590,piala,NN
591,gubernur,NN
592,diy,FW
593,olimpiade,FW
594,milik,NN
595,cabang,NN
596,lomba,NN
597,kaligrafi,NN
598,cca,NN
599,mhq,FW
600,mtq,FW
601,da,NN
602,da,NN
603,iyah,NN
604,sasar,NN
605,khusus,JJ
606,ajar,VB
607,sma,NN
608,smk,NN
609,ma,NN
610,indonesia,NNP
611,paguyuban,NN
612,mabes,FW
613,musik,FW
614,mabes,FW
615,musik,FW
616,uad,FW
617,taro,NN
618,hasil,NN
619,ekstrak,NN
620,talas,JJ
621,ubi,VB
622,dipoplerkan,VB
623,negara,NN
624,taiwan,NN
625,manis,NN
626,khas,VB
627,soft,FW
628,yummy,FW
629,naknyothaitea,NN
630,thaitea,NN
631,jogja,NN
632,yogyakarta,NN
633,ugm,FW
634,uad,FW
635,uii,FW
636,umy,FW
637,uty,FW
638,uny,FW
639,uinsuka,VB
640,indonesia,NN
641,jogjadrink,NN
642,minumanjogja,NN
643,jogjaistimewa,NN
644,kampus,NN
645,uad,FW
646,yg,FW
647,daerah,NN
648,mbar,FW
649,po,FW
650,amongrogo,FW
651,domisili,VB
652,jogja,NN
653,gue,FW
654,saran,NN
655,dr,NN
656,santi,NN
657,yuliani,VB
658,sp,FW
659,kj,FW
660,ya,FW
661,psikiater,FW
662,gue,FW
663,bantu,FW
664,gue,FW
665,suicidal,FW
666,thoughts,FW
667,sih,FW
668,psikiater,FW
669,jg,FW
670,oke,FW
671,sih,FW
672,gue,FW
673,nyaman,FW
674,beliau,FW
675,praktik,FW
676,apotek,FW
677,uad,FW
678,sindu,FW
679,kusuma,FW
680,edupark,FW
681,wkw,FW
682,liat,FW
683,uad,FW
684,beb,FW
685,isi,NN
686,tas,NN
687,anak,NN
688,ugm,FW
689,uny,FW
690,uin,FW
691,upn,FW
692,uii,FW
693,uty,FW
694,unisa,FW
695,umy,FW
696,uad,FW
697,ucy,FW
698,uaay,FW
699,upy,FW
700,umby,FW
701,uajy,FW
702,uwmy,FW
703,uay,FW
704,ust,FW
705,ujy,FW
706,ukdw,FW
707,usd,FW
708,ukrim,FW
709,instiper,FW
710,akakom,FW
711,ampta,FW
712,stipary,FW
713,stipram,FW
714,stieww,FW
715,stieu,FW
716,paweda,VB
717,amayo,NN
718,api,NN
719,sttnas,NN
720,sttn,NN
721,batan,NN
722,sttkd,NN
723,stta,NN
724,isi,NN
725,akprind,FW
726,stpn,FW
727,stie,FW
728,ykpn,FW
729,stim,FW
730,ykpn,FW
731,up,FW
732,stpmd,FW
733,emang,NN
734,isi,NN
735,tas,NN
736,beda,VB
737,ya,NN
738,uad,FW
739,gak,FW
740,ayok,FW
741,umy,FW
742,uad,FW
743,dll,FW
744,syudaa,NN
745,sayy,FW
746,kuliah,FW
747,uad,FW
748,haha,NN
749,kuliah,NN
750,babinsa,NN
751,susu,NN
752,sambut,VB
753,mahasiswa,NN
754,universitas,NN
755,ahmad,NN
756,dahlan,NN
757,uad,NNP
758,original,FW
759,best,FW
760,seller,FW
761,gari,VB
762,langgan,NN
763,naknyothaitea,NN
764,thaitea,NN
765,jogja,NN
766,jogjakuliner,NN
767,minum,NN
768,yogyakarta,NN
769,authenticthaitea,NN
770,ugm,FW
771,uad,FW
772,uii,FW
773,umy,FW
774,uty,FW
775,uny,FW
776,uinsuka,VB
777,tugujogja,NN
778,indonesia,NN
779,segar,JJ
780,jogjadrink,NN
781,minumanjogja,NN
782,jogjaistimewa,NN
783,coklat,NN
784,pekat,NN
785,super,NN
786,lezat,NN
787,lepas,VB
788,dahaga,NN
789,naknyothaitea,NN
790,thaitea,NN
791,thaiteaindonesia,NN
