,Word,POS
359,informasi,NN
360,uajy,FW
361,abdi,FW
362,uajy,FW
363,hut,VB
364,himsi,NN
365,januari,NN
366,himpun,SC
367,mahasiswa,NN
368,sistem,NN
369,informasi,NN
370,uajy,FW
371,himsi,NN
372,uajy,FW
373,genap,FW
374,usia,NN
375,besok,NN
376,gua,CD
377,dah,NN
378,isi,NN
379,tas,NN
380,anak,NN
381,teknik,NN
382,industri,NN
383,uajy,FW
384,wkwkwk,FW
385,kaga,NN
386,bangsat,NN
387,malesin,NN
388,uajy,FW
389,gelar,FW
390,latih,FW
391,digital,FW
392,resources,FW
393,pantesan,NN
394,liat,NN
395,buku,NN
396,pedoman,NN
397,krs,NN
398,nya,NN
399,temen,NN
400,kos,NN
401,nama,NN
402,fbe,FW
403,hehe,FW
404,keren,FW
405,kkn,FW
406,uajy,FW
407,batusari,VB
408,ngawen,NN
409,gunung,NN
410,kidul,NN
411,via,PRP
412,makam,VB
413,rabu,NN
414,januari,NN
415,makam,NN
416,griya,NN
417,taman,NN
418,asri,NN
419,bidston,NN
420,hibur,NN
421,selasa,NN
422,januari,NN
423,bidston,NN
424,berangkat,VB
425,jenasah,NN
426,rabu,NN
427,januari,VB
428,panggil,VB
429,tuhan,NN
430,arya,NN
431,adiyatma,NN
432,putra,NN
433,selasa,NN
434,januari,NN
435,rs,NN
436,sardjito,NN
437,tanggal,NN
438,lahir,VB
439,september,NN
440,alamat,NN
441,rumah,NN
442,duka,VB
443,griya,NN
444,taman,NN
445,asri,NN
446,blok,NN
447,pendowoharjo,NN
448,sleman,NN
449,yogyakarta,NN
450,sambung,VB
451,kolom,NN
452,komentar,IN
453,universitas,NN
454,swasta,JJ
455,versi,NN
456,kemenristekdikti,NN
457,yuk,NN
458,daftar,NN
459,via,NN
460,uajy,FW
461,atmajogja,NN
462,atma,NN
463,jogja,NN
464,ubah,VB
465,fakultas,NN
466,ekonomi,NN
467,fbe,NN
468,krjogja,NN
469,via,NN
470,uajy,FW
471,atmajogja,NN
472,uajyberita,PRP
473,rebranding,FW
474,fe,FW
475,uajy,FW
476,fbe,FW
477,atma,NN
478,jogja,NN
479,uajyberita,NN
480,uajy,FW
481,atmajogja,NN
482,fe,IN
483,universitas,NN
484,atma,NN
485,jogja,NN
486,ubah,VB
487,nama,NN
488,fbe,NN
489,uajyberita,NN
490,atmajogja,NN
491,uajy,FW
492,info,NN
493,from,NN
494,program,NN
495,pascasarjana,NN
496,universitas,NN
497,atma,NN
498,jaya,NN
499,yogyakarta,NN
500,buka,VB
501,daftar,NN
502,mahasiswa,NN
503,semester,NN
504,genap,VB
505,akademik,NN
506,tahap,NN
507,iii,NN
508,pilih,VB
509,riah,NN
510,bhakti,NN
511,imigrasi,NN
512,puluh,CD
513,orang,NN
514,asing,JJ
515,negara,NN
516,lomba,NN
517,batik,NN
518,pendopo,NN
519,krida,NN
520,manunggal,VB
521,budaya,NN
522,yogyakarta,NN
523,imigrasi,NN
524,ri,NN
525,uad,NNP
526,video,NN
527,kelompok,NN
528,kkn,FW
529,uajy,FW
530,unit,NN
531,kelompok,NN
532,via,PRP
533,fe,FW
534,uajy,FW
535,bayar,FW
536,mas,FW
537,fe,FW
538,uajy,FW
539,spp,FW
540,jadwal,FW
541,ya,FW
542,min,FW
543,bangga,SC
544,mjd,FW
545,alumni,FW
546,marching,FW
547,band,FW
548,uajy,FW
