,Word,POS
361,pdip,VB
362,dukung,VB
363,ugm,NN
364,juang,NN
365,nobel,NN
366,damai,JJ
367,nu,VB
368,muhammadiyah,NN
369,info,NN
370,tawar,VB
371,magang,NN
372,pt,NN
373,telekomunikasi,NN
374,indonesia,NN
375,tbk,NN
376,pt,NN
377,telekomunikasi,NN
378,indonesia,NN
379,tbk,NN
380,rupa,NN
381,bumn,NN
382,sedia,NN
383,layan,NN
384,telekomunikasi,NN
385,jaring,NN
386,indonesia,NNP
387,saa,NNP
388,via,NNP
389,ugm,NNP
390,nz,NN
391,chotimah,NN
392,potong,VB
393,kritik,NN
394,rocky,FW
395,gerung,VB
396,hadap,IN
397,disertasi,NN
398,doktor,NN
399,ugm,NN
400,yg,NN
401,judul,NN
402,ateisme,NN
403,cegah,NN
404,natar,NN
405,pancasila,SC
406,sosiolog,NN
407,universitas,NN
408,gadjah,NN
409,mada,IN
410,ugm,FW
411,arie,FW
412,sudjito,FW
413,terang,NN
414,pimpin,NN
415,presiden,NN
416,jokowi,NN
417,jusuf,NN
418,kalla,NN
419,konsolidasi,NN
420,program,NN
421,nawacita,PRP
422,dorong,VB
423,kualitas,NN
424,demokrasi,NN
425,indonesia,NN
426,rabusatu,CD
427,masuk,VB
428,ugm,NN
429,tp,NN
430,tulis,NN
431,salah,JJ
432,isi,NN
433,jg,NN
434,tdk,NN
435,cermin,NN
436,orang,NN
437,yg,NN
438,kuliah,NN
439,teman,NN
440,teman,NN
441,area,NN
442,ugm,FW
443,ayoooo,FW
444,sosiolog,NN
445,universitas,NN
446,gadjah,NN
447,mada,IN
448,ugm,FW
449,arie,FW
450,sudjito,FW
451,terang,NN
452,pimpin,NN
453,presiden,NN
454,jokowi,NN
455,jusuf,NN
456,kalla,NN
457,konsolidasi,NN
458,program,NN
459,nawacita,PRP
460,dorong,VB
461,kualitas,NN
462,demokrasi,NN
463,indonesia,NN
464,rabusatu,CD
465,presiden,NN
466,jokowi,NN
467,jendral,NN
468,jendral,NN
469,tukang,NN
470,kayu,NN
471,tamat,NN
472,ugm,NN
473,thn,NN
474,pimpin,NN
475,jujur,JJ
476,suka,VB
477,albinsaid,FW
478,bedjatmiko,FW
479,drop,FW
480,out,FW
481,fe,FW
482,ugm,FW
483,kuliah,NN
484,abal,JJ
485,beli,VB
486,ijazah,NN
487,kampus,NN
488,ecek,NN
489,prasyarat,NN
490,pake,NN
