,Word,POS
356,an,FW
357,lingkung,FW
358,kampus,FW
359,umy,FW
360,umy,FW
361,lolos,FW
362,evaluasi,NN
363,double,FW
364,degree,FW
365,online,FW
366,indonesia,NNP
367,via,NNP
368,umy,FW
369,nya,FW
370,cuman,FW
371,aby,FW
372,aja,NN
373,awl,NN
374,mra,NN
375,ashof,FW
376,umy,FW
377,mt,FW
378,msa,NN
379,tshof,NN
380,mbara,NN
381,umy,FW
382,udah,FW
383,the,FW
384,best,FW
385,ajar,VB
386,ngaji,NN
387,wkwk,JJ
388,alhamdulillah,NN
389,ssb,FW
390,hw,FW
391,umy,FW
392,juara,NN
393,tingkat,NN
394,nasional,JJ
395,festival,NN
396,geas,NN
397,bogor,NN
398,januari,VB
399,saladnyoo,NN
400,ki,NN
401,enak,NN
402,po,NN
403,larang,NN
404,ora,NN
405,bosque,FW
406,kulon,FW
407,umy,FW
408,udu,FW
409,yo,FW
410,beritaumy,FW
411,umy,FW
412,jalin,FW
413,kerjasama,IN
414,stia,NN
415,amuntai,VB
416,umy,FW
417,lolos,FW
418,evaluasi,NN
419,double,FW
420,degree,FW
421,online,FW
422,indonesia,NNP
423,jatim,NN
424,trip,FW
425,mukim,FW
426,ethnictro,FW
427,mathis,FW
428,amp,FW
429,tobias,FW
430,tampil,FW
431,jnb,FW
432,fest,FW
433,jogja,FW
434,noise,FW
435,bombing,FW
436,ikbal,FW
437,lubys,FW
438,amp,FW
439,dharma,NN
440,san,NN
441,tenggara,NN
442,trio,NN
443,tim,NN
444,broadcasting,FW
445,umy,FW
446,beritaumy,FW
447,taekwondo,FW
448,umy,FW
449,sabet,FW
450,medali,VB
451,emas,NN
452,ganesha,NN
453,taekwondo,FW
454,championship,FW
455,ii,FW
456,jatim,NN
457,trip,FW
458,mukim,FW
459,ethnictro,FW
460,mathis,FW
461,amp,FW
462,tobias,FW
463,tampil,FW
464,jnb,FW
465,fest,FW
466,jogja,FW
467,noise,FW
468,bombing,FW
469,ikbal,FW
470,lubys,FW
471,amp,FW
472,dharma,NN
473,san,NN
474,tenggara,NN
475,trio,NN
476,tim,NN
477,broadcasting,FW
478,umy,FW
479,paytren,NN
480,sarana,NN
481,bisnis,NN
482,amal,JJ
