,Word,POS
358,kmnuii,VB
359,wih,VB
360,gamer,NN
361,sayang,NN
362,uii,VB
363,helena,SC
364,uii,VB
365,boba,VB
366,uii,VB
367,aq,NN
368,anak,NN
369,manja,NN
370,tips,FW
371,ajar,FW
372,fk,FW
373,uii,FW
374,version,FW
375,bahan,FW
376,setor,FW
377,try,FW
378,out,FW
379,mentoring,FW
380,wkwkw,NN
381,ga,NN
382,eh,NN
383,lu,NN
384,anak,NN
385,uii,NN
386,anjirr,NN
387,uii,NN
388,tinggal,VB
389,biduk,NN
390,ni,NN
391,siapaa,NN
392,nisha,NN
393,marah,NN
394,zul,FW
395,kee,FW
396,eh,FW
397,eh,FW
398,nak,NN
399,marah,NN
400,buatpaa,NN
401,mek,NN
402,uii,NN
403,takdak,NN
404,suara,NN
405,so,NN
406,marah,JJ
407,haih,VB
408,nasib,NN
409,comel,NN
410,bimbel,NN
411,khusus,JJ
412,masuk,VB
413,dokter,NN
414,uii,NN
415,program,NN
416,jamin,NN
417,indonesia,NN
418,college,FW
419,yogyakarta,FW
420,ic,FW
421,pusat,NN
422,bimbel,NN
423,uii,NN
424,dokter,NN
425,durian,NN
426,hibrida,NN
427,queen,NN
428,biak,NN
429,varietas,NN
430,unggul,VB
431,orang,NN
432,mahasiswa,NN
433,psikologi,NN
434,usia,NN
435,nama,NN
436,aka,NN
437,universitas,NN
438,islam,NN
439,indonesia,NN
440,uii,NN
441,yogyakarta,NN
442,tanam,VB
443,kalong,VB
444,jawa,VB
445,ach,FW
446,uii,FW
447,tk,FW
448,cun,FW
449,kau,FW
450,kuang,FW
451,kuit,FW
452,kk,FW
453,kch,FW
454,uii,VB
455,otai,NN
456,nya,NN
457,port,FW
458,tu,FW
459,uii,VB
460,yokochan,NN
461,but,FW
462,yes,FW
463,uii,VB
464,bongok,FW
465,iv,FW
466,al,FW
467,jazeera,FW
468,tu,FW
469,jemput,FW
470,ats,FW
471,dasar,FW
472,yg,FW
473,iv,FW
474,tu,FW
475,plak,VB
476,ank,NN
477,yahudi,NN
478,pegi,NN
479,tnya,RB
480,ko,FW
481,bygkn,FW
482,org,FW
483,lps,FW
484,turun,FW
485,flight,FW
486,iv,FW
487,dosen,CD
488,dl,NN
489,idola,NN
490,bojo,NN
491,uii,NN
492,level,NN
493,mmd,FW
494,skarang,FW
495,n,FW
496,mmd,FW
497,bs,FW
498,njomplang,NN
499,gitu,SC
500,kualitas,NN
501,salah,JJ
502,metode,NN
503,pas,NN
504,rukyah,NN
505,kyknya,RB
506,uii,VB
507,maaan,NN
508,wwe,NN
509,aqui,VB
510,uii,VB
511,bahagia,PRP
512,uii,VB
513,mcm,NN
514,tu,NN
515,hahaha,NN
516,uii,NN
517,bangun,VB
518,hahahah,NN
519,finally,FW
520,en,FW
521,gak,NEG
522,sih,MD
523,milih,VB
524,mimpi,NN
525,gituu,NN
526,rem,NN
527,uii,NN
528,habis,JJ
529,kejar,VB
530,setann,NN
531,kapooyaaa,NN
532,uii,VB
533,uii,VB
534,man,NN
535,inap,VB
536,tpr,NN
537,tpr,NN
538,ga,NN
539,papa,SC
540,sih,VB
541,aman,NN
542,daerah,NN
543,pakem,NN
544,utara,NN
545,uii,VB
546,nih,VB
547,daftar,NN
548,rs,NN
549,uii,NN
550,jogjakarta,NN
551,undang,NN
552,calon,NN
553,karyawan,NN
554,karyawati,VB
555,jabat,NN
556,butuh,VB
557,pendafraran,NN
558,januari,NN
559,sedia,NN
560,posisi,NN
561,syarat,NN
562,lihat,VB
563,uii,NN
564,uii,VB
565,masuk,VB
566,sja,NN
567,main,FW
568,classic,FW
569,skali,VB
570,tgk,NN
571,musuh,NN
572,uii,NN
573,sd,NN
574,ba,NN
575,ni,NN
576,ulti,NN
577,nya,NN
578,la,NN
579,bahaya,NN
580,bkumpul,VB
581,kompom,NN
582,mati,VB
583,ama,NN
584,yaaa,NN
585,uii,VB
586,kuliah,NN
587,uii,NN
588,gue,FW
589,jual,VB
590,motor,NN
591,beat,NN
592,sayang,NN
593,lunas,VB
594,sidang,NN
595,nyokap,VB
596,gak,NN
597,beliau,NN
598,biaya,NN
599,daftar,NN
600,ulang,VB
601,kost,FW
602,cerita,FW
603,lengkap,FW
604,gue,FW
605,tulis,FW
606,blog,FW
607,temen,NN
608,gue,FW
609,effort,FW
610,masuk,VB
611,univ,NN
612,negeri,NN
613,gue,FW
614,gagal,JJ
615,kuliah,NN
616,ngalah,NN
617,adik,NN
618,gue,FW
619,masuk,FW
620,smp,FW
621,nyokap,FW
622,larang,FW
623,gue,FW
624,kuliah,FW
625,snmptn,FW
626,ugm,FW
627,gagal,FW
628,minat,FW
629,gue,FW
630,hadap,FW
631,sbmptn,FW
632,um,FW
633,hilang,FW
634,gue,FW
635,udah,MD
636,pegang,VB
637,golden,NN
638,tiket,NN
639,uii,NN
640,teknik,NN
641,lingkung,VB
642,uii,NN
643,cinta,VB
644,no,FW
645,bebe,FW
646,ng,NN
647,ngarep,NN
648,uii,NN
649,gang,NN
650,ana,SC
651,magistrat,NN
652,pv,NNP
653,uii,NNP
654,gak,NN
655,sekolah,NN
656,ahahah,NN
657,sibuk,NN
658,ngurusin,NN
659,psb,NN
660,uii,NN
661,gak,NN
662,simulasi,NN
663,un,NN
664,kah,RP
665,uii,VB
666,nontonnya,NN
667,nebeng,NN
668,tidur,VB
669,kerja,NN
670,uii,VB
671,uii,VB
672,kampus,NN
673,nomor,NN
674,yes,NN
675,ayok,NN
676,uii,VB
677,kutip,VB
678,dri,NN
679,blog,NN
680,salah,JJ
681,alumni,VB
682,fe,NN
683,uii,NN
684,rasio,NN
685,gaji,NN
686,ideal,JJ
687,beli,VB
688,buah,NND
689,rumah,NN
690,gaji,NN
691,uii,VB
692,owkwkwkw,FW
693,nekekeyeg,NN
694,tlga,NN
695,aq,FW
696,sainio,FW
697,uii,FW
698,getwellsoonangelie,FW
699,lamia,NN
700,atangan,NN
701,sa,NN
702,airport,FW
703,ang,FW
704,bp,FW
705,uii,FW
706,bah,MD
707,uii,VB
708,uii,VB
709,eh,NN
710,sii,NN
711,wsh,FW
712,defou,FW
713,uii,VB
714,ang,NN
715,ganda,NN
716,nya,NN
717,puta,CD
718,ruang,NN
719,simulasi,NN
720,kemudi,NN
721,uii,VB
722,ruang,NN
723,simulasi,NN
724,kemudi,NN
725,uii,VB
726,uii,VB
727,asyuk,NN
728,kt,NN
729,tanah,NN
730,mna,SC
731,selasa,NN
732,workload,FW
733,dh,FW
734,mcm,FW
735,khamis,FW
736,tu,FW
737,nsb,FW
738,ceo,FW
739,masuk,VB
740,ofis,NN
741,arini,PR
742,uii,VB
743,uii,NN
744,mamangg,JJ
745,kasakit,CD
746,jd,NND
747,sa,NN
748,dughan,NN
749,uii,NN
750,hayss,FW
751,wonosari,VB
752,dlingo,FW
753,pleret,FW
754,uii,FW
755,pleret,FW
756,dlingo,FW
757,boyokku,FW
758,nk,FW
759,tgk,FW
760,driver,FW
761,sial,FW
762,ni,VB
763,pi,NN
764,melaka,SC
765,raya,VB
766,bodo,NN
767,tu,NN
768,main,JJ
769,tetengah,VB
770,jalan,NN
771,park,FW
772,double,FW
773,park,FW
774,tk,FW
775,yah,FW
776,ckp,FW
777,naa,FW
778,pastu,FW
779,signal,FW
780,yah,FW
781,moto,FW
782,kau,FW
783,tgh,FW
784,laju,NN
785,ni,NN
786,ttb,NN
787,msuk,VB
788,ui,NN
789,uii,NN
790,okay,FW
791,last,FW
792,tgh,FW
793,jalan,NN
794,ni,NN
795,ttb,NN
796,kreta,NN
797,dpn,FW
798,stop,FW
799,park,FW
800,uii,VB
801,tahniah,NN
802,utk,FW
803,result,FW
804,sem,FW
805,get,FW
806,ready,FW
807,utk,FW
808,next,FW
809,sem,FW
810,uii,VB
811,amiinnnnn,NN
812,uii,VB
813,wei,NN
814,semenjak,NN
815,tengok,VB
816,video,NN
817,manca,NN
818,milyhya,NN
819,kuat,JJ
820,carut,IN
821,gaya,NN
822,indonesia,NN
823,gitu,SC
824,ya,VB
825,yg,FW
826,content,FW
827,video,FW
828,milyhya,FW
829,lawak,FW
830,dpd,FW
831,haziq,FW
832,okbai,VB
833,uii,VB
834,bb,NN
835,uii,NN
836,casiii,VB
837,pas,NN
838,za,NN
839,kn,FW
840,pahht,FW
841,mann,FW
842,bvbvfl,FW
843,gh,FW
844,uii,FW
845,k,FW
846,iujkjikhk,FW
847,klo,FW
848,uii,NN
849,danki,VB
850,uii,VB
851,ga,NN
852,akeh,VB
853,ta,NN
854,uii,NN
855,uiii,VB
856,porno,NN
857,hello,NN
858,uii,VB
859,uii,VB
860,lpm,NN
861,ehehe,NN
862,uii,VB
863,uii,VB
864,org,FW
865,igt,FW
866,rak,FW
867,baya,FW
868,tau,FW
869,tp,FW
870,tau,FW
871,umur,FW
872,smua,FW
873,nk,FW
874,pggil,FW
875,kak,FW
876,lh,FW
877,gurl,FW
878,uii,VB
879,gelas,NN
880,ku,NN
881,ku,NN
882,minum,NN
883,milo,NN
884,ni,VB
885,zafeel,FW
886,oh,FW
887,uii,FW
888,rip,FW
889,panam,FW
890,anak,NN
891,uii,NN
892,bom,NN
893,praja,RB
894,deg,NN
895,degan,NN
896,uii,NN
897,batrenya,RB
898,menipiss,FW
899,gamau,FW
900,lepas,FW
901,hppp,FW
902,gimana,FW
903,dungg,FW
904,bosan,NN
905,ka,NN
906,uii,VB
907,uii,NN
908,maksehh,JJ
909,iyapss,NN
910,lahir,VB
911,uii,NN
912,akuuu,NN
913,syudaaah,NN
914,maaf,NN
915,ngga,SC
916,luat,VB
917,notifnya,RB
918,amp,NN
919,jadwal,NN
920,seleksi,NN
921,uji,NN
922,masuk,VB
923,pesantren,NN
924,liput,VB
925,bahasa,NNP
926,arab,NNP
927,bahasa,NNP
928,inggris,NNP
929,psikotes,VB
930,pesantren,NN
931,an,NN
932,laksana,NN
933,gedung,NN
934,gbph,NN
935,prabuningrat,NN
936,kantor,NN
937,rektorat,NN
938,uii,NN
939,kampus,NN
940,padu,NN
941,uii,NN
942,jalan,NN
943,kaliurang,NN
944,km,NN
945,sleman,NN
946,yogyakarta,CC
947,syarat,NN
948,sk,NN
949,rektor,NN
950,daftar,NN
951,terima,VB
952,salah,NN
953,jalur,NN
954,seleksi,NN
955,formulir,NN
956,daftar,NN
957,mahasiswa,NN
958,unggul,VB
959,pondok,NN
960,pesantren,NN
961,uii,NN
962,isi,NN
963,fotokopi,NN
964,ijazah,NN
965,legalisasi,NN
966,sma,NN
967,smk,NN
968,ma,NN
969,derajat,JJ
970,terima,CD
971,santri,NN
972,pondok,NN
973,pesantren,NN
974,uii,NN
975,model,NN
976,rekrutmen,NN
977,mahasiswa,NN
978,uii,NN
979,mahasiswa,NN
980,uii,NN
981,tempuh,JJ
982,kuliah,NN
983,semester,NN
984,beasiswa,NN
985,pondok,NN
986,pesantren,NN
987,uii,NN
988,yogyakarta,CC
989,hebat,NN
990,uii,NN
991,militan,NN
992,prabowobentengnkri,NN
993,udah,JJ
994,ttww,FW
995,napa,SC
996,uii,VB
997,fini,PR
998,uii,VB
999,uii,NN
1000,udah,JJ
1001,akre,FW
1002,nder,FW
1003,sabar,NN
1004,uii,VB
1005,kingkoya,NN
1006,jd,FW
1007,mosayaw,FW
1008,ni,FW
1009,det,FW
1010,uii,FW
1011,bakso,NN
1012,tusuk,VB
1013,bu,NN
1014,sainah,NN
1015,hubung,VB
1016,jajan,NN
1017,is,FW
1018,my,FW
1019,passion,FW
1020,bakso,FW
1021,tusuk,VB
1022,favorit,NN
1023,sih,NN
1024,bakso,NN
1025,tusuk,VB
1026,yg,NN
1027,enak,NN
1028,tp,NN
1029,kali,NN
1030,jajan,NN
1031,ken,NN
1032,trs,FW
1033,aplg,FW
1034,deket,FW
1035,rumah,NN
1036,jg,NN
1037,cabang,NN
1038,saosnya,RB
1039,the,FW
1040,best,FW
1041,sih,FW
1042,pedes,FW
1043,bgt,FW
1044,jl,FW
1045,imogiri,NN
1046,utara,NN
1047,uii,NN
1048,jakal,JJ
