,0
ni,58.87129015965399
ui,49.24899520216953
yg,45.48535214846801
ya,36.79032509800474
tu,35.881505229763405
kaskus,34.54288008074739
nak,32.296569350929936
anak,32.02805618478303
bah,28.35555003988748
uiii,25.06031850945179
ga,24.708731915323714
dah,23.327223750225038
kampus,22.544784819021643
allah,22.422258457520762
moga,21.994494430545767
ugm,21.755278556329753
wkwk,21.28734544989953
kalo,21.219686085337315
mahasiswa,21.128376968149162
jakal,20.196543529258314
ah,19.341821882749493
kuliah,19.330540376382608
aja,19.326852988451186
nya,19.234628287949036
la,18.79907541041225
id,18.74243770190899
bb,18.358175811356055
udah,17.757530230860677
putra,17.688575777125763
dosen,17.58905435594547
vs,17.57429749819277
season,17.38004561655506
badminton,17.36433167573329
ligamahasiswa,17.36433167573329
regu,17.36433167573329
jogja,17.253769842066582
mas,17.106798322147775
cjyc,16.999788718503982
eh,16.269910757158215
kerja,16.015476045804256
meridhoi,15.9015777268279
uny,15.865214581532856
si,15.821242323423883
umy,15.805180467056292
skor,15.725491931014814
yogyakarta,15.634213681977526
kau,15.558321200887418
game,15.473844890567742
gak,15.36849445905717
court,15.33881009914698
hukum,15.276764235544716
fh,14.993334397069678
hahaha,14.858682059937902
deket,14.418237569748692
sih,14.390855739243145
alumni,14.235973964298838
nih,13.81832320165266
md,13.732234885600343
mahfud,13.409399884482838
masuk,13.391885404530555
ka,13.383322761440487
wisuda,13.04940931287757
indonesia,12.952241126600365
universitas,12.924750987225437
prof,12.666100759973958
orang,12.328063795606322
islam,12.124589226746462
menteri,12.009379105601585
tau,11.76014510665502
pas,11.690126355288367
uwu,11.655713282337231
jam,11.460321210440043
beli,11.396348275514036
ms,11.10146513596671
dh,11.090878769236031
merci,11.002892160386466
na,10.959299921200227
kena,10.820406021115906
uad,10.74156365788407
je,10.660361020709173
salah,10.512564519909695
kat,10.471856424302922
haha,10.467710818535613
mcm,10.388180723398122
bagus,10.352053086932575
kali,10.133795523182345
rektor,10.09796849289858
tidur,9.989858869735343
cinta,9.79956243471305
makan,9.790626018040172
amp,9.787849348945556
ko,9.688364667263954
ajar,9.676849963671524
fakultas,9.668214763644704
man,9.650750089167472
jalan,9.53573765771593
aamiin,9.50243759495941
kak,9.393174951273329
uajy,9.286996687832978
neng,9.281394812829998
yogya,9.2270872090097
fe,9.11451498216324
ku,9.108783147435052
oh,9.080460638198204
sa,9.054954289558781
twt,8.944029415045396
main,8.758327347999588
km,8.734442954143688
selamat,8.685937958376968
wahyu,8.682849994250352
nyata,8.505489215698923
biar,8.471411049906981
cm,8.45667275043828
lulus,8.437778522328413
yahya,8.402571167328409
buka,8.399811803431632
dr,8.37826266081708
kaya,8.371769282137826
unsoed,8.326727867723694
sakit,8.321382622197694
malu,8.310999972004536
teknik,8.292546262613703
rumah,8.184808015083888
nk,8.143819427360334
banget,8.109503606370186
suka,8.066709076828662
kayak,7.8890160904241435
nama,7.885630924408307
tp,7.882059762379416
ngga,7.793166103114149
habis,7.781244934421364
terima,7.741559781206905
teman,7.727081343365468
sleman,7.594015672784859
in,7.572029999058781
ekonomi,7.48675915770097
tuh,7.427762141492669
kah,7.402861379211583
iya,7.39306719241699
nder,7.375841479253467
liat,7.334191980173682
gitu,7.327248513850996
daftar,7.325546898958598
besok,7.267889615814783
kaliurang,7.101917269642053
alhamdulillah,7.057872278179321
gata,7.0
klo,6.941325095797246
pagi,6.911255241236834
coba,6.890164481084373
the,6.876582919802478
sampe,6.844435894954047
guru,6.7742919159857315
aji,6.743539640014728
wkwkw,6.722203068359594
bayu,6.7147706884057685
malam,6.655561738187472
wkwkwk,6.6244761997451285
mata,6.604697642395835
kost,6.5783161987932335
acara,6.560867315733497
sedap,6.549474291671878
masjid,6.538564187607186
hehe,6.504778246126985
sis,6.480382440325589
beda,6.417437941272807
org,6.404693811983352
menang,6.3897198712794845
doang,6.376091210967503
ra,6.210499556499223
upn,6.136251491589177
langsung,6.134448713010459
temen,6.127102141264946
jual,6.1057520421512335
tinggal,6.070384118726002
air,6.029582693117829
ketemu,6.025911219285022
bro,6.002381649304429
nang,5.961957896917369
ja,5.958253769613321
ning,5.907032330647364
nii,5.8952269806987125
beliau,5.88171149162789
jurus,5.88068911205543
pakai,5.87287243818869
jg,5.869560574964194
ma,5.865820364238789
jgn,5.863616255388318
no,5.856032431365311
an,5.849162821768078
utara,5.787046286243431
kkn,5.6905631203234055
daerah,5.674947801979153
pa,5.634649413604742
catur,5.622101589030404
nanya,5.595366039448969
padu,5.588806090674554
cuti,5.561116998325941
mahal,5.554783370531956
bgt,5.530602277004091
laa,5.528521420112283
ba,5.513476521913979
tunggu,5.49206027786182
angkat,5.49085371549783
utp,5.479340824885264
takut,5.476229122677909
mbak,5.431682671226205
pulak,5.420784440482
syg,5.419912396320786
ken,5.406740075896671
mo,5.329780526867797
lem,5.3151809660285805
insyaallah,5.303357299811305
desa,5.296995975786602
lepas,5.254707062434863
uk,5.2485961831944525
lihat,5.22346384855493
gin,5.216100278845911
bener,5.202156996307208
bikin,5.189915995701307
mantap,5.177538483513913
min,5.175787598792853
bilang,5.141880983435017
ki,5.138456029158258
ambil,5.127365159680672
sayang,5.102305830095864
itb,5.065714700304861
boys,5.062698376007457
cantik,5.016883653809038
lupa,5.016055305176613
ta,5.013500163291296
pusat,5.004122268763662
sabar,4.992795781297817
yuk,4.992511688189977
emang,4.988893348123291
jugak,4.953338902921896
muhammad,4.942492197750036
hellooo,4.933186065970526
lalajkt,4.933186065970526
sempurnaa,4.933186065970526
yaa,4.910684004198798
