,Word,POS
359,daftar,NN
360,kursus,NN
361,bahasa,NN
362,korea,NN
363,februari,VB
364,ato,NN
365,uin,NN
366,suka,VB
367,collab,NN
368,bareng,NN
369,ukdw,FW
370,tampil,JJ
371,dosen,CD
372,fakultas,NN
373,teologi,NN
374,natal,FW
375,kampus,FW
376,ukdw,FW
377,full,FW
378,version,FW
379,youtube,FW
380,sabda,VB
381,dodol,NN
382,jenang,NN
383,jagung,NN
384,jual,VB
385,jagung,NN
386,mburi,NN
387,ukdw,FW
388,jenenge,FW
389,kae,FW
390,mas,FW
391,mburi,VB
392,ukdw,FW
393,kae,FW
394,akeh,FW
395,cerak,VB
396,bengkel,NN
397,kereta,NN
398,kae,FW
399,loh,FW
400,lali,FW
401,jeneng,FW
402,daerahe,FW
403,suasana,NN
404,korean,NN
405,center,FW
406,ukdw,FW
407,koreancenterukdw,FW
408,ukdw,FW
409,kccsejong,FW
410,kcc,FW
411,sejong,FW
412,ukdw,FW
413,nasgor,NN
414,padmanaba,NN
415,kalo,FW
416,non,FW
417,muslim,FW
418,ukdw,FW
419,nnti,NN
420,makan,VB
421,non,RB
422,halal,JJ
423,didpan,NN
424,gereja,NN
425,mie,FW
426,ayam,FW
427,dideket,FW
428,tugu,FW
429,hayati,FW
430,cafe,FW
431,gudeg,FW
432,jl,FW
433,wijilan,FW
434,sop,FW
435,merah,NN
436,kalo,NN
437,daerah,NN
438,bantul,FW
439,sate,FW
440,pong,VB
441,ingkung,NN
442,ayam,NN
443,kampung,VB
444,pajang,NN
445,wkwk,NN
446,ya,NN
447,babi,VB
448,racing,FW
449,koh,FW
450,jw,FW
451,jalan,NN
452,damai,JJ
453,babi,VB
454,si,NN
455,lae,FW
456,ukdw,FW
457,rica,NN
458,babi,NN
459,terminal,JJ
460,concat,VB
461,babi,NN
462,bajang,NN
463,minomartani,VB
464,babi,NN
465,koh,FW
466,diam,FW
467,progo,FW
468,burger,FW
469,babi,FW
470,pothz,FW
471,stembayo,FW
472,bimbing,FW
473,dokter,FW
474,ukdw,FW
475,program,NN
476,jamin,VB
477,bimbel,FW
478,dokter,FW
479,ukdw,FW
480,program,FW
481,jamin,FW
482,start,FW
483,februari,IN
484,april,NNP
485,juni,NNP
486,juni,NNP
487,lampu,JJ
488,taman,NN
489,ukdw,FW
490,shadow,FW
491,kusam,FW
492,kursitaman,FW
493,bimbel,FW
494,dokter,FW
495,ukdw,FW
496,program,NN
497,jamin,NN
498,indonesia,NN
499,college,FW
500,yogyakarta,CC
501,tampil,JJ
502,dosen,CD
503,fakultas,NN
504,teologi,NN
505,natal,FW
506,kampus,FW
507,ukdw,FW
508,full,FW
509,version,FW
510,youtube,FW
511,sabda,VB
512,buka,VB
513,ig,FW
514,ukdw,FW
515,inbox,FW
516,mbak,FW
517,wqwq,FW
518,civil,FW
519,war,FW
520,is,FW
521,reall,FW
522,hahahaa,NN
523,siooo,NN
524,kalo,NN
525,personel,NN
526,tuh,VB
527,enak,NN
528,skali,NN
529,minum,NN
530,puas,JJ
531,mampir,RB
532,burjo,FW
533,ukdw,FW
534,pulang,FW
535,kost,FW
536,santoso,FW
537,ukdw,FW
538,now,FW
539,open,NN
540,great,NN
541,besok,NN
542,jam,NN
543,yes,FW
544,sido,FW
545,ukdw,FW
546,sesuk,FW
547,santoso,FW
548,at,NN
549,gedung,NN
550,koinonia,NN
551,auditorium,NN
552,ukdw,FW
553,in,FW
554,yogyakarta,NN
555,yogyakarta,CC
556,tampil,JJ
557,dosen,CD
558,fakultas,NN
559,teologi,NN
560,natal,FW
561,kampus,FW
562,ukdw,FW
563,full,FW
564,version,FW
565,youtube,FW
566,sabda,VB
567,klitren,NN
568,kampus,FW
569,ukdw,FW
570,ukdw,NN
571,bukansi,NN
572,wkwkwk,JJ
573,timur,NN
574,ukdw,NN
575,daerah,NN
576,pandan,NN
577,simping,FW
578,klaten,FW
579,mou,NN
580,jasaba,NN
581,vs,FW
582,ukdw,FW
583,samping,FW
584,ukdw,FW
585,nonstop,FW
586,area,NN
587,kalas,JJ
588,pusat,NN
589,bimbel,FW
590,dokter,FW
591,ugm,FW
592,umy,FW
593,uii,FW
594,ukdw,FW
595,program,NN
596,jamin,NN
597,padu,NN
598,indonesia,NN
599,college,FW
600,bimbing,FW
601,superintensif,FW
602,dokter,FW
603,ugm,FW
604,umy,FW
605,uii,FW
606,ukdw,FW
607,jamin,FW
608,kuliah,NN
609,dokter,NN
610,gratis,JJ
611,bimbel,NN
612,indonesia,NN
613,college,FW
614,theboyz,FW
615,ukdw,FW
616,aaww,FW
617,com,FW
618,aaww,FW
619,com,FW
620,special,FW
621,sale,FW
622,cek,NN
623,langsung,RB
624,elektronik,JJ
625,murah,JJ
626,riah,NN
627,harga,NN
628,gosir,NN
629,kulak,NN
630,hargakulakan,VB
631,promomurah,NN
632,elektronik,NN
633,elektronikmurah,NN
634,elektronikjogja,NN
635,murahmeriah,NN
636,murahbanget,NN
637,mahasiswa,NN
638,hargamurah,NN
639,uny,FW
640,uin,FW
641,atma,FW
642,umy,FW
643,upy,FW
644,uty,FW
645,ukdw,FW
646,asiyah,NN
647,amikomjogja,NN
648,kcc,MD
649,sejong,VB
650,suasana,NN
651,korean,NN
652,center,FW
653,ukdw,FW
654,ayo,FW
655,ajar,VB
656,bahasa,NNP
657,korea,NNP
658,inap,FW
659,dejaboe,FW
660,homestay,FW
661,private,FW
662,room,FW
663,cocok,FW
664,pasang,NN
665,bawa,VB
666,anak,NN
667,pergi,VB
668,temen,NN
669,dejaboe,FW
670,homestay,FW
671,letak,NN
672,nya,NN
673,jl,NN
674,tur,NN
675,gang,NN
676,asrama,NN
677,ukdw,FW
678,no,FW
679,yogyakarta,FW
680,deket,FW
681,kampus,FW
682,upn,FW
683,ukdw,MD
684,masuk,VB
685,aja,NN
686,timur,NN
687,kcc,MD
688,sejong,VB
689,kursus,NN
690,bahasa,NN
691,korea,NN
692,gratis,JJ
693,korean,NN
694,center,FW
695,ukdw,FW
696,ukdw,FW
697,profile,FW
698,youtube,FW
699,sabda,VB
700,alih,VB
701,jalur,NN
702,arah,NN
703,negatif,JJ
704,taman,NN
705,siswa,NN
706,pakualaman,NN
707,lempuyangan,NN
708,smp,FW
709,lurus,FW
710,ukdw,FW
711,kiri,FW
712,fly,FW
713,over,FW
714,lempuyangan,NN
715,lurus,NN
716,gayam,NN
717,kiri,NN
718,mandala,NN
719,krida,NN
720,kusuma,NN
721,negara,NN
722,kanan,NN
723,glagah,JJ
724,sari,VB
725,jl,NN
726,pramuka,VB
727,masuk,VB
728,jalur,NN
729,ukdw,FW
730,profile,FW
731,youtube,FW
732,sabda,VB
733,yg,FW
734,kalo,FW
735,dr,FW
736,ukdw,FW
737,belok,FW
738,timur,FW
739,kah,FW
740,empire,FW
741,situ,FW
742,ku,FW
743,jajan,FW
744,es,FW
745,es,FW
746,emg,FW
747,tp,FW
748,ga,FW
749,liat,FW
750,yg,FW
751,dawet,FW
752,durian,NN
753,ituu,NN
754,jkt,NN
755,uda,VB
756,masuk,VB
757,sy,FW
758,non,FW
759,kecepit,FW
760,post,FW
761,cuber,FW
762,ukdw,FW
763,pokok,NN
764,ukdw,NN
765,gang,NN
766,timur,NN
767,lurus,NN
768,aja,NN
769,dah,NN
770,mentok,NN
771,kubur,VB
772,temen,NN
773,temen,NN
774,yogyakarta,NN
775,yg,NN
776,kuliah,NN
777,tau,NN
778,daerah,NN
779,klitern,NN
780,lor,NN
781,daerah,NN
782,padat,NN
783,mukim,NN
784,kampus,FW
785,ukdw,FW
786,kos,FW
787,emng,FW
788,kuliah,FW
789,ukdw,FW
790,hundred,FW
791,hyun,FW
792,ukdw,FW
793,wwee,FW
794,com,FW
795,wwee,FW
796,com,FW
797,ukdw,FW
798,profile,FW
799,youtube,FW
800,sabda,VB
801,event,FW
802,report,FW
803,intermedic,FW
804,assalamualaikum,FW
805,wr,FW
806,wb,FW
807,reco,FW
808,in,FW
809,collaboration,FW
810,with,FW
811,seco,FW
812,mmsa,FW
813,umy,FW
814,had,FW
815,successfully,FW
816,conducted,FW
817,intermedic,FW
818,about,FW
819,medical,FW
820,students,FW
821,from,FW
822,umy,FW
823,ugm,FW
824,ukdw,FW
825,and,FW
826,uad,FW
827,participated,FW
828,this,FW
829,project,FW
830,as,FW
831,they,FW
832,were,FW
833,promoted,FW
834,to,FW
835,join,FW
836,an,FW
837,exchange,FW
838,program,NN
839,of,NN
840,ifmsa,NN
841,tampil,JJ
842,dosen,CD
843,fakultas,NN
844,teologi,NN
845,natal,FW
846,kampus,FW
847,ukdw,FW
848,full,FW
849,version,FW
850,youtube,FW
851,sabda,VB
852,ukdw,FW
853,profile,FW
854,youtube,FW
855,sabda,VB
856,kangen,NN
857,tape,FW
858,goreng,FW
859,dpan,FW
860,kampus,FW
861,ukdw,FW
862,jogja,NN
863,deh,JJ
864,jakarta,CC
865,napa,CD
866,ga,NN
867,yg,FW
868,jual,FW
869,tape,FW
870,goreng,FW
871,ya,UH
872,gw,FW
873,yg,FW
874,ukdw,FW
875,gin,FW
876,bilang,NN
877,alumni,NN
878,jogja,NN
879,gak,NN
880,ya,NN
881,tampil,JJ
882,dosen,CD
883,fakultas,NN
884,teologi,NN
885,natal,FW
886,kampus,FW
887,ukdw,FW
888,full,FW
889,version,FW
890,youtube,FW
891,sabda,VB
892,ukdw,FW
893,neng,NN
894,aja,NN
895,dengerin,NN
896,cerita,NN
897,anak,NN
898,theologi,NN
899,ukdw,NN
900,pas,NN
901,bilang,NN
902,mama,NN
903,islam,NN
904,spontan,NN
905,langsung,RB
906,senyum,NN
907,paksa,VB
908,gitu,SC
909,hmm,VB
910,smart,FW
911,house,FW
912,bit,FW
913,presentation,FW
914,ukdw,FW
915,tinggal,VB
916,minggu,NN
917,ukdw,FW
918,yogyakarta,FW
919,maret,FW
920,pungki,SC
921,purnadi,VB
922,amp,NN
923,associates,NN
924,jalan,NN
925,program,NN
926,csr,NN
927,nya,NN
928,yogyakarta,CC
929,makan,VB
930,mieyago,FW
931,deket,FW
932,ukdw,FW
933,parkir,VB
934,trotoar,NN
935,aduh,VB
936,dosa,NN
937,parkir,NN
938,trotoar,JJ
939,ukdw,FW
940,profile,FW
941,youtube,FW
942,sabda,VB
943,sabtu,FW
944,feb,FW
945,wib,FW
946,gsp,FW
947,lt,FW
948,gkj,FW
949,joglo,FW
950,pdt,FW
951,dr,FW
952,wahyu,FW
953,nugroho,FW
954,dosen,FW
955,studi,NN
956,agama,NN
957,islamologi,NN
958,ukdw,FW
959,pend,FW
960,ukwd,FW
961,ma,FW
962,ugm,FW
963,dr,FW
964,universit,FW
965,rostock,FW
966,jerman,FW
967,pewartajoglo,FW
968,kampus,NN
969,kampus,FW
970,jomblo,FW
971,ukdw,FW
972,jumatreceh,FW
973,jumatberkah,WH
974,kcc,FW
975,sejong,FW
976,korean,FW
977,center,FW
978,ukdw,FW
979,buka,VB
980,daftar,NN
981,kursus,NN
982,bahasa,NN
983,korea,NN
984,bisnis,NN
985,kantor,NN
986,asli,JJ
987,kesel,FW
988,banget,FW
989,bangjo,FW
990,belah,FW
991,ukdw,FW
992,edan,NN
993,dalane,FW
994,macet,FW
995,sakpole,FW
996,lik,FW
997,kotabaru,FW
998,ugm,FW
999,ukdw,FW
1000,galeria,NN
1001,macet,JJ
1002,total,NN
1003,ra,NN
1004,mlaku,NN
1005,untung,NN
1006,nggo,NN
1007,motor,NN
1008,edan,NN
1009,dalane,FW
1010,macet,FW
1011,sakpole,FW
1012,min,FW
1013,kotabaru,FW
1014,ugm,FW
1015,ukdw,FW
1016,galeria,NN
1017,macet,JJ
1018,total,NN
1019,ra,NN
1020,mlaku,NN
1021,untung,NN
1022,nggo,NN
1023,motor,NN
1024,enak,NN
1025,bethesda,VB
1026,arah,NN
1027,ya,NN
1028,mas,NN
1029,gale,FW
1030,ukdw,FW
1031,biznet,NN
1032,ukdw,FW
1033,mantap,FW
1034,aja,NN
1035,ukdw,NN
1036,soksokan,VB
1037,nutupin,NN
1038,hidung,VB
1039,kcc,FW
1040,sejong,FW
1041,korean,FW
1042,center,FW
1043,ukdw,FW
1044,buka,VB
1045,daftar,NN
1046,kursus,NN
1047,uji,NN
1048,topik,NN
1049,ii,VB
1050,sekolah,NN
1051,lintas,NN
1052,iman,NN
1053,sli,NN
1054,resmi,JJ
1055,buka,VB
1056,sabtu,NN
1057,februari,NN
1058,kampus,NN
1059,fakultas,NN
1060,teologi,NN
1061,universitas,NN
1062,sanata,NN
1063,dharma,NN
1064,yogyakarta,NN
1065,buka,VB
1066,isi,NN
1067,sesi,NN
1068,kenal,JJ
1069,kenal,JJ
1070,sli,VB
1071,orientasi,NN
1072,program,NN
1073,udar,NN
1074,prasangka,NN
1075,sli,VB
1076,interfidei,NN
1077,uinsuka,VB
1078,ukdw,FW
1079,usd,FW
1080,sadhar,FW
1081,kcc,MD
1082,sejong,VB
1083,lowong,VB
1084,kerja,NN
1085,instructor,NN
1086,bipa,NN
1087,english,FW
1088,korean,FW
1089,center,FW
1090,ukdw,FW
1091,kcc,FW
1092,sejong,FW
1093,korean,FW
1094,center,FW
1095,ukdw,FW
1096,buka,VB
1097,daftar,NN
1098,kursus,NN
1099,bahasa,NNP
1100,korea,NNP
1101,maret,NNP
1102,tampil,JJ
1103,dosen,CD
1104,fakultas,NN
1105,teologi,NN
1106,natal,FW
1107,kampus,FW
1108,ukdw,FW
1109,full,FW
1110,version,FW
1111,youtube,FW
1112,sabda,VB
1113,rt,NN
1114,jogja,NN
1115,ukdw,NN
1116,fasilitas,NN
1117,masyarakat,NN
1118,samigaluh,JJ
1119,ajar,VB
1120,kembang,NN
1121,wisata,NN
1122,tanggung,VB
1123,bingung,VB
1124,cari,VB
1125,kerja,NN
1126,dateng,NN
1127,job,NN
1128,fair,NN
1129,ajak,NN
1130,teman,NN
1131,teman,NN
1132,rekan,NN
1133,institusi,NN
1134,lulus,FW
1135,ukdw,FW
1136,job,FW
1137,fair,FW
1138,ukdw,NN
1139,fasilitas,NN
1140,masyarakat,NN
1141,samigaluh,JJ
1142,ajar,VB
1143,kembang,NN
1144,wisata,NN
1145,tanggung,VB
1146,ukdw,NN
1147,fasilitas,NN
1148,masyarakat,NN
1149,samigaluh,JJ
1150,ajar,VB
1151,kembang,NN
1152,wisata,NN
1153,tanggung,VB
1154,psptm,FW
1155,ukdw,FW
1156,dorong,VB
1157,masyarakat,NN
1158,desa,NN
1159,kembang,NN
1160,produk,NN
1161,lokal,JJ
1162,anak,NN
1163,isip,NN
1164,udah,JJ
1165,nyampe,FW
1166,anak,FW
1167,unpad,FW
1168,ukdw,FW
1169,kesini,NN
1170,hemmmm,NN
1171,nyasar,NN
1172,gimana,NN
1173,bu,NN
1174,got,FW
1175,ta,FW
1176,big,FW
1177,up,FW
1178,dragworld,FW
1179,went,FW
1180,to,FW
1181,dragcon,FW
1182,ny,FW
1183,in,FW
1184,amp,FW
1185,ukdw,FW
1186,system,FW
1187,is,FW
1188,way,FW
1189,better,FW
1190,usa,FW
1191,have,FW
1192,no,FW
1193,guaranteed,FW
1194,amp,FW
1195,u,FW
1196,must,FW
1197,buy,FW
1198,merch,FW
1199,so,FW
1200,some,FW
1201,people,FW
1202,sat,FW
1203,for,FW
1204,hrs,FW
1205,for,FW
1206,trixie,FW
1207,only,FW
1208,to,FW
1209,run,FW
1210,out,FW
1211,of,FW
