,Word,Weight,POS
0,tampil,23.319272968443084,JJ
1,trip,11.925790015994625,JJ
2,sih,9.299096350912412,JJ
3,limafutsal,7.749759849183031,JJ
4,pindah,6.152171340864681,JJ
5,selamat,4.732661485894654,JJ
6,kenal,4.534605168078379,JJ
7,lampu,4.278017181569298,JJ
8,gratis,4.014746107865679,JJ
9,salah,3.3297928264290535,JJ
10,wkwkwk,3.221242737901623,JJ
11,deh,2.9959645218857145,JJ
12,wib,2.6970443656862484,JJ
13,nasional,2.619384395145748,JJ
14,kaya,2.429563358808308,JJ
15,mah,2.2667144490966176,JJ
16,jakal,2.190836809538198,JJ
17,bagus,2.0557886514727537,JJ
18,sis,1.869705937509956,JJ
19,sehat,1.8284629839017077,JJ
20,sesuai,1.7770596834338939,JJ
21,aman,1.6897174027874913,JJ
22,rapih,1.6863939395879646,JJ
23,ngapain,1.6769177762372345,JJ
24,penuh,1.62113382375556,JJ
25,murah,1.6202828111337693,JJ
26,jawatengah,1.6080922375761275,JJ
27,ramai,1.6016432166097818,JJ
28,mahal,1.587461262431917,JJ
29,mantan,1.4604490474340939,JJ
30,gagal,1.4427201253039956,JJ
31,khusus,1.358452271942968,JJ
32,swasta,1.2738175094735107,JJ
33,serius,1.224879109679967,JJ
34,samigaluh,1.2132447872610808,JJ
35,jumat,1.115824850015024,JJ
36,sosial,1.0998756030517303,JJ
37,cepat,1.0986511056378938,JJ
38,terminal,1.0791892269162506,JJ
39,jikustik,0.9934334804715912,JJ
40,strategis,0.9657940049490954,JJ
41,kuat,0.9014973104222483,JJ
42,sekal,0.6520256812439047,JJ
43,bandung,84.16215547548184,NN
44,jogja,34.33037979340368,NN
45,teologi,25.942074880771425,NN
46,fakultas,25.14444732139248,NN
47,ya,19.213186855023142,NN
48,kuliah,16.370482259925186,NN
49,jalan,15.994855999419919,NN
50,kalo,15.707618763448021,NN
51,anak,15.034979264184864,NN
52,korean,14.669669395163043,NN
53,putra,13.868448778402326,NN
54,mas,13.549431652725218,NN
55,universitas,11.83862811871185,NN
56,awalmasadepan,11.644480375206259,NN
57,ligamahasiswa,11.644480375206259,NN
58,futsal,10.852800333507174,NN
59,id,10.54545593351951,NN
60,enak,10.442603616224398,NN
61,daftar,10.29247944210699,NN
62,dokter,10.195462954369905,NN
63,wacana,9.538088526112547,NN
64,duta,9.393627561179056,NN
65,acara,9.330320408962583,NN
66,sanata,9.199310706093444,NN
67,kota,9.001961766586165,NN
68,dharma,8.871649554534901,NN
69,pas,8.697676971416042,NN
70,indonesia,8.446249993070287,NN
71,kursus,8.330594979140116,NN
72,tim,8.314214075825246,NN
73,jam,8.061057710895648,NN
74,kristen,7.956830275728483,NN
75,rektor,7.811283245153003,NN
76,pagi,7.328446022683698,NN
77,nasgor,7.053381505031589,NN
78,ken,6.938688780234643,NN
79,sampe,6.707593256047811,NN
80,timur,6.564762386262668,NN
81,daerah,6.548363981877334,NN
82,atmajaya,6.527587857354083,NN
83,neng,6.35048098581209,NN
84,rumah,6.348132510648546,NN
85,arah,6.260854582224812,NN
86,program,6.255959049138123,NN
87,teman,6.212568856086294,NN
88,temen,6.175946424725649,NN
89,lempuyangan,6.1469165520508415,NN
90,of,6.1069099467553976,NN
91,nama,5.930925788487058,NN
92,orang,5.901809581554534,NN
93,sabda,56.28504154580113,VB
94,babi,17.941468719793654,VB
95,sejong,15.003987067395515,VB
96,buka,14.310027691567416,VB
97,nih,9.614276226050576,VB
98,masuk,9.36333667754797,VB
99,makan,9.035609128933338,VB
100,wkwk,8.00682150063628,VB
101,kak,6.864096088211132,VB
102,ajar,6.389854361816285,VB
103,ii,4.95171742998501,VB
104,selesai,4.846156013408138,VB
105,dukung,4.688324871000275,VB
106,bethesda,4.406371526182545,VB
107,ketemu,4.378570184403979,VB
108,tuh,4.1137854602430455,VB
109,lupa,4.017930736745336,VB
110,cari,3.9818961908048807,VB
111,tutup,3.8609298666763774,VB
112,ambil,3.8176208245660646,VB
113,unggul,3.7051409865133214,VB
114,tuju,3.549628514695058,VB
115,jamin,3.515751397413352,VB
116,beli,3.483495308075352,VB
117,habis,3.4633133650179873,VB
118,tinggal,3.381008256438011,VB
119,jual,3.2825443263152208,VB
120,suka,3.2425348232639775,VB
121,februari,3.1682639075165095,VB
122,hadir,3.164879340959632,VB
123,coba,3.11603448313198,VB
124,cinta,3.057296985156306,VB
125,seru,2.7550562622562462,VB
126,gabung,2.7273730147377884,VB
127,feriadi,2.6633531578293073,VB
128,tulis,2.655704101671711,VB
129,juli,2.605691865134303,VB
130,raih,2.589958614691757,VB
131,babak,2.569875573200515,VB
132,mercu,2.4865821439760873,VB
133,kui,2.4525302135212854,VB
134,beda,2.3990085182964136,VB
135,latih,2.260602663242445,VB
136,bawa,2.2600478426103887,VB
137,hati,2.196522747251841,VB
138,mati,2.196258500106406,VB
139,njuk,2.175077558700724,VB
140,uda,2.1634116057330806,VB
141,parkir,1.994755261806855,VB
142,startup,1.9920275477956764,VB
