,Word,POS
357,info,FW
358,via,NN
359,wa,NN
360,kostputri,NN
361,kostcewekjogja,NN
362,kostjogja,NN
363,kostmurah,JJ
364,sasing,FW
365,sadhar,FW
366,yg,FW
367,bagus,FW
368,seindo,FW
369,ya,UH
370,musim,NN
371,pie,FW
372,mwurah,NN
373,ceuhh,NN
374,ken,NN
375,kentang,NN
376,dkt,FW
377,sadhar,FW
378,iya,NN
379,biar,CD
380,bab,NN
381,cuman,NN
382,jelasin,NN
383,data,NN
384,teliti,NN
385,ama,NN
386,intrepetasi,NN
387,data,NN
388,teh,FW
389,press,FW
390,bab,FW
391,dosbing,FW
392,jurus,FW
393,beda,VB
394,klo,NN
395,sadhar,NN
396,ya,NN
397,bandinginnya,RB
398,teh,MD
399,beda,VB
400,univ,NNP
401,beda,VB
402,dosbinh,NN
403,aja,NN
404,beda,VB
405,proses,NN
406,lamanyaaaa,NN
407,hoo,NN
408,cik,NN
409,pindah,JJ
410,seko,NN
411,sadhar,JJ
412,gugah,NN
413,wae,FW
414,po,FW
415,contoh,NN
416,nih,FW
417,upsss,FW
418,sadhar,VB
419,haha,NN
420,yo,NN
421,ngunu,NN
422,kui,VB
423,yo,NN
424,nek,NN
425,cangkem,NN
426,ra,NN
427,adoh,FW
428,ro,FW
429,silet,FW
430,nek,FW
431,ameh,FW
432,niat,FW
433,protes,FW
434,ki,FW
435,neng,FW
436,njobo,FW
437,mall,FW
438,kui,VB
439,protes,NN
440,neng,NN
441,njero,FW
442,mall,FW
443,hihihi,VB
444,mah,NN
445,pie,FW
446,to,FW
447,rumah,NN
448,bagus,JJ
449,tugas,NN
450,rusak,JJ
451,cc,FW
452,yk,FW
453,maident,FW
454,kalas,VB
455,pake,FW
456,supra,FW
457,nih,FW
458,gpp,FW
459,sadhar,FW
460,kmps,FW
461,brp,FW
462,sadhar,FW
463,koe,FW
464,ning,FW
465,steepram,FW
466,njupuk,FW
467,jurus,FW
468,opo,FW
469,kui,VB
470,kentang,NN
471,iso,NN
472,tuku,NN
473,ng,NN
474,cerak,NN
475,sadhar,NN
476,hahaha,NN
477,weheee,IN
478,anak,NN
479,sadhar,NN
480,bgt,NN
481,si,NN
482,lo,NN
483,haha,NN
484,bambang,NN
485,woeeee,FW
486,gmn,FW
487,nihh,FW
488,gacari,FW
489,main,FW
490,po,FW
491,kasta,FW
492,opo,FW
493,supporter,FW
494,sing,FW
495,arep,FW
496,seleksi,NN
497,dadi,VB
498,main,IN
499,pindah,MD
500,sadhar,VB
501,gk,NN
502,masuk,VB
503,masuk,VB
504,lokasi,NN
505,spesial,JJ
506,jogja,NN
507,menit,NN
508,jogjabay,FW
509,menit,NN
510,kampus,NN
511,uii,NN
512,ekonomi,NN
513,upn,FW
514,sadhar,FW
515,dll,FW
516,jt,FW
517,untung,FW
518,hub,FW
519,ni,VB
520,gudeg,NN
521,gejayan,NN
522,dket,FW
523,sadhar,FW
524,kfc,FW
525,or,FW
526,mcd,FW
527,vigit,NN
528,sangka,NN
529,arti,NN
530,yg,JJ
531,sadhar,VB
532,ya,NN
533,susah,JJ
534,sayang,NN
535,yg,NN
536,paham,NN
537,mas,JJ
538,sadhar,NN
539,bagus,JJ
540,nder,FW
541,sinergi,NN
542,koentji,VB
543,huni,PR
544,kampus,VB
545,sadhar,FW
546,paing,FW
547,jt,FW
548,dihh,VB
549,kuliah,NN
550,sadhar,NN
551,misquinn,NN
552,masyaallah,NN
553,nak,NN
554,wkwk,JJ
555,lenguh,RB
556,eh,VB
557,keluh,CD
558,grup,NN
559,wa,NN
560,arie,FW
561,sadhar,FW
562,days,FW
563,ayo,NN
564,sen,NN
565,liat,NN
566,liat,NN
567,lokasi,NN
568,condongcatur,NN
569,kost,FW
570,kos,FW
571,kostjogjamurah,NN
572,kostmurahjogja,NN
573,kostmurah,NN
574,kontra,VB
575,upn,FW
576,ugm,FW
577,uny,FW
578,uii,FW
579,sadhar,FW
580,unriyo,FW
581,amikom,FW
582,sttnas,FW
583,kosdeketkampus,FW
584,kuy,FW
585,kost,FW
586,deket,FW
587,kampus,FW
588,kalo,NN
589,senior,JJ
590,anak,NN
591,sadhar,NN
592,gampang,NN
593,tiff,FW
594,sih,FW
595,pda,FW
596,bilang,FW
597,gt,FW
598,nyari,IN
599,dmna,NN
600,rencana,NN
601,tiff,FW
602,kalo,FW
